,log2FC,symbol
23642,1.753005751249999,SNHG1
283120,1.75259527575,H19
25886,1.7524847465,POC1A
388552,1.751956591,BLOC1S3
54069,1.7471799455,MIS18A
3554,1.74574336475,IL1R1
80746,1.7454513072499998,TSEN2
25804,1.7450696577500002,LSM4
26147,1.7447934897499993,PHF19
51765,1.7433629754999984,STK26
912,1.7416151195000005,CD1D
4897,1.7392619785,NRCAM
55509,1.7391255177499998,BATF3
51053,1.7330209659999998,GMNN
122769,1.7330136502500002,LRR1
387640,1.7291444677500003,SKIDA1
55266,1.7282897797499999,TMEM19
283871,1.7273656679999991,PGP
23302,1.7267066832500002,WSCD1
24147,1.7236225769999969,FJX1
116039,1.7233715367500002,OSR2
10606,1.7212480044999996,PAICS
85028,1.7206813647499999,SNHG12
80010,1.7187328842499978,RMI1
83641,1.7177333994999984,FAM107B
57621,1.7149983190000002,ZBTB2
55839,1.7149181010000003,CENPN
4678,1.7141180370000013,NASP
5888,1.70257773375,RAD51
10051,1.69152547825,SMC4
126375,1.6895329935000003,ZNF792
90417,1.6888363360000005,KNSTRN
9060,1.6866337725000022,PAPSS2
145508,1.6811454144999995,CEP128
23199,1.6782970765000007,GSE1
51204,1.6729276302499994,TACO1
60481,1.6706502812500013,ELOVL5
8836,1.667491097750002,GGH
29089,1.6651221662500006,UBE2T
4609,1.6595272982499996,MYC
286527,1.655581519,TMSB15B
29108,1.65244265875,PYCARD
9324,1.6493787647500007,HMGN3
57017,1.6474257637499994,COQ9
83990,1.6459343312499994,BRIP1
10788,1.6453970077500006,IQGAP2
91368,1.6452479439999994,XTBD1
84899,1.6438662127499999,TMTC4
2113,1.6414757277499996,ETS1
26052,1.6387164112500003,DNM3
677838,1.6360177355000003,SNORA61
10732,1.6346280229999994,TCFL5
84722,1.6343736795000003,PSRC1
283991,1.6305612997499992,UBALD2
3385,1.6299407752499988,ICAM3
2625,1.6283645619999998,GATA3
51728,1.615833833,POLR3K
57089,1.6151641397499992,ENTPD7
166647,1.614857015250001,ADGRA3
55159,1.6127413412499996,RFWD3
22876,1.6078752932499993,INPP5F
10046,1.6069377222500005,MAMLD1
26255,1.604072392,PTTG3P
5478,1.57943947375,PPIA
8989,1.5786446155,TRPA1
55151,1.5777887617500017,TMEM38B
55137,1.574916266999999,FIGN
282809,1.5741881080000013,POC1B
84959,1.5719095792500006,UBASH3B
4781,1.5711259857499993,NFIB
9510,1.5652950002500017,ADAMTS1
54898,1.563063671000001,ELOVL2
4175,1.5615568837499998,MCM6
5789,1.5604389672499996,PTPRD
642,1.5593091357499995,BLMH
8406,1.5584557227499989,SRPX
7074,1.5571288332499993,TIAM1
23649,1.5569477455000005,POLA2
163227,1.5553782307500006,ZNF100
142,1.5533252892499991,PARP1
1602,1.5480704397499996,DACH1
2239,1.544536055,GPC4
57685,1.5440298054999992,CACHD1
9221,1.5432328317500001,NOLC1
57556,1.5406624059999996,SEMA6A
10947,1.5393924602499993,AP3M2
2956,1.5393856569999986,MSH6
114880,1.5363509764999996,OSBPL6
26301,1.5352986367499994,GBGT1
5175,1.5322324304999997,PECAM1
5424,1.5285065805000002,POLD1
7283,1.5257807137500006,TUBG1
90768,1.5239079954999992,TENM3-AS1
6470,1.5237588549999992,SHMT1
182,1.5232344629999996,JAG1
57820,1.5231878415000022,CCNB1IP1
9493,1.5211440085000003,KIF23
6894,1.5204126985000013,TARBP1
93058,1.5190223637500004,COQ10A
23404,1.5156461937499994,EXOSC2
2990,1.5132714039999993,GUSB
7090,1.5119299607499999,TLE3
5118,1.5109376374999997,PCOLCE
55723,1.5090006727499996,ASF1B
10131,1.5085019907500001,TRAP1
56906,1.5079456955000001,THAP10
10461,1.5065257802500005,MERTK
114908,1.5043865352499974,TMEM123
51444,1.5030520867500012,RNF138
1104,1.5007057160000006,RCC1
55225,1.49930901975,RAVER2
84798,1.4990140902500002,C19orf48P
55632,1.4985680112499997,G2E3
55636,1.4979987495000007,CHD7
399726,1.49639295775,MIR1915HG
55166,1.496336661249999,CENPQ
8092,1.4953745180000002,ALX1
10293,1.4947782397500005,TRAIP
8140,1.4928005662500006,SLC7A5
3149,1.4905123332499999,HMGB3
155066,1.490490995500001,ATP6V0E2
120,1.490429862500001,ADD3
286826,1.4904206994999996,LIN9
153572,1.4807874774999998,IRX2
118460,1.48046729,EXOSC6
118980,1.4773970499999987,SFXN2
148534,1.47681880775,TLCD4
11019,1.4736605075,LIAS
10024,1.4729146780000004,TROAP
10008,1.47101532125,KCNE3
157506,1.4708584344999993,RDH10
90624,1.4695387109999993,LYRM7
4869,1.4682112774999982,NPM1
3621,1.467013057,ING1
79081,1.4654329392500003,LBHD1
10926,1.4649825730000003,DBF4
220965,1.4638576137500001,FAM13C
84250,1.4598549044999993,SLF1
25903,1.4597549679999986,OLFML2B
5198,1.4565376564999992,PFAS
57082,1.4557314482499994,KNL1
22874,1.4529469394999994,PLEKHA6
195828,1.447460810749999,ZNF367
94121,1.447221374999999,SYTL4
54985,1.4465963122500005,HCFC1R1
5111,1.446379235000002,PCNA
494143,1.4422488069999995,CHAC2
157285,1.4421726015000012,PRAG1
84823,1.4421296632500002,LMNB2
6626,1.439333702499999,SNRPA
993,1.43675382275,CDC25A
4957,1.4328914417499998,ODF2
85465,1.4322701102500002,SELENOI
55013,1.4294283462499973,MCUB
11073,1.4294166214999997,TOPBP1
1789,1.4270208725,DNMT3B
653,1.4260015650000009,BMP5
29968,1.4253826479999994,PSAT1
11100,1.4248658600000006,HNRNPUL1
51116,1.4247502822500007,MRPS2
3454,1.4224575855000001,IFNAR1
5961,1.4204858824999995,PRPH2
64858,1.4173438897499993,DCLRE1B
1848,1.4172612094999977,DUSP6
129401,1.4170644699999997,NUP35
4691,1.4168708875,NUCLEOLIN
9945,1.4168679419999997,GFPT2
2737,1.4161632945000004,GLI3
7001,1.4153690754999992,PRDX2
84245,1.4142383585000005,MRI1
9401,1.4125418132499998,RECQL4
6542,1.4108818757500003,SLC7A2
93081,1.4073090595000002,TEX30
26207,1.4029237795,PITPNC1
22976,1.4010398472500007,PAXIP1
1122,1.3998542522499982,CHML
80119,1.3965998745000001,PIF1
154796,1.3954401692499996,AMOT
3835,1.3913680477500003,KIF22
3014,1.3911279317500007,H2AX
23347,1.3873020010000001,SMCHD1
54962,1.3856723872499987,TIPIN
57224,1.3848242495000003,NHSL1
10250,1.3811019827499988,SRRM1
201161,1.3810116157500003,CENPV
1948,1.380722154999999,EFNB2
23266,1.3790678342500016,ADGRL2
3978,1.3788761167499999,LIG1
6310,1.3755967752499991,ATXN1
641977,1.3737533645000006,SEPTIN7P2
9329,1.37187492375,GTF3C4
100128191,1.3710012107499998,TMPO-AS1
51545,1.3686573647499998,ZNF581
55972,1.3685334557500006,SLC25A40
254863,1.3667396607500013,TMEM256
25878,1.3667196687499992,MXRA5
10592,1.366562105499999,SMC2
25840,1.3650784802500011,TMT1A
11277,1.36211641525,TREX1
257236,1.3618527315,CFAP184
79694,1.3610611712500003,MANEA
29058,1.3603677404999992,TMEM230
1949,1.3566240337499993,EFNB3
5125,1.3560598857500006,PCSK5
29980,1.3558334064999986,DONSON
80055,1.35292553725,PGAP1
10383,1.3508530924999995,TUBB4B
28951,1.3501333654999996,TRIB2
400550,1.3500635375000005,FENDRR
375444,1.34904475075,C5orf34
5982,1.3489050245000023,RFC2
60489,1.34790083725,APOBEC3G
54930,1.3475047867499992,HAUS4
8204,1.3466923732500007,NRIP1
8880,1.3460166360000017,FUBP1
57477,1.3437978140000006,SHROOM4
57464,1.3436547545000002,STRIP2
154141,1.34213970375,MBOAT1
23753,1.3414664524999989,SDF2L1
81575,1.3389849065000003,APOLD1
57026,1.3388599894999995,PDXP
9088,1.3376526395,PKMYT1
4927,1.336913624500001,NUP88
100288637,1.336605863,LOC100288637
84296,1.3327908205,GINS4
3292,1.3300302117499996,HSD17B1
3930,1.3280034129999994,LBR
23545,1.3279380625000003,ATP6V0A2
2878,1.3270543507500019,GPX3
100289019,1.3252802347500001,SLC25A25-AS1
10318,1.3244985607500004,TNIP1
1469,1.3228240207499997,CST1
8091,1.3215297167500006,HMGA2
3199,1.3213458029999998,HOXA2
55840,1.3209296562499997,EAF2
57184,1.3199507764999998,FAM219B
5822,1.3181669817499992,PWP2
25845,1.3176797925,SLC9A3-OT1
8555,1.317042239,CDC14B
899,1.3165605382500005,CCNF
7378,1.3162242277500011,UPP1
8420,1.3161089160000006,SNHG3
2308,1.3152648772500006,FOXO1
23157,1.3140531549999999,SEPTIN6
51231,1.3134948955000008,VRK3
2091,1.3133927070000002,FBL
57122,1.3120437579999997,NUP107
84678,1.3108346172500003,KDM2B
3187,1.3101664732499998,HNRNPH1
442075,1.3099591354999998,EMC3-AS1
100128893,1.3080196599999998,GATA6-AS1
